"Enabled","Enabled"
"Title","Title"
"Subtitle","Subtitle"
"Your DPD Depot #","Your DPD Depot #"
"Your DPD CLASSIC contract #","Your DPD CLASSIC contract #"
"Shipping rates configuration","Shipping rates configuration"
"Display when unavailable","Display when unavailable"
"Yes","Yes"
"No","No"
"Displayed Error Message","Displayed Error Message"
"Sort Order","Sort Order"
"DPD France","DPD France"
"Orders management","Orders management"
"Please first proceed to the configuration of the DPD France extension via System > Configuration > Sales > DPD France.","Please first proceed to the configuration of the DPD France extension via System > Configuration > Sales > DPD France."
"DPD News","DPD News"
"show","show"
"hide","hide"
"Export selected orders","Export selected orders"
"Ad Valorem","Ad Valorem<br/>insurance"
"Enable returns","Enable<br/>returns"
"Update shipped orders","Update shipped orders"
"DPD Pickup point","DPD Pickup point"
"Track the package","Track the package"
"Documentation","Documentation"
"Your personal data","Your personal data"
"Company Name","Company Name"
"Address 1","Address 1"
"Address 2","Address 2"
"Postal code","Postal code"
"Mobile","Mobile"
"E-mail","E-Mail"
"Default parcel insurance service","Default parcel insurance service"
"Integrated insurance (23€ / transported kg - LOTI cdts.)","Integrated insurance (23€ / transported kg - LOTI cdts.)"
"Ad Valorem insurance service","Ad Valorem insurance service"
"DPD Returns service","DPD Returns service"
"No returns","No returns"
"On Demand","On Demand"
"Prepared","Prepared"
"config_comment","<strong>Welcome to DPD France.</strong> The plugin documentation is available here :<a href='../../../../../../../../media/dpdfrance/readme_dpdfrance_magento.pdf' target='_blank'><img src='../../../../../../../../media/dpdfrance/admin/pdf.png' alt='PDF'/></a><br/><br/><strong>Important : </strong>You must be a DPD France customer and be in posession of your contract details before configuring this module.<br/>If you want to get in touch with our sales team", please visit our website<a href='http://www.dpd.fr/professionnels' target='_blank'>www.dpd.fr</a><br/><br/><strong>Please fill in your shipper data</strong>"
"Enabled","Enabled"
"Your Predict by DPD contract #","Your Predict by DPD contract #"

"Your Predict delivery by DPD","Your Predict delivery by DPD"
"Predict offers you the following benefits","Predict offers you the following benefits"
"A parcel delivery in a 1-hour time window (choice is made by SMS or through our website)","A parcel delivery in a 1-hour time window (choice is made by SMS or through our website)"
"A complete and detailed tracking of your delivery","A complete and detailed tracking of your delivery"
"In case of absence", you can schedule a new delivery when and where you it suits you best","In case of absence", you can schedule a new delivery when and where you it suits you best"
"How does it work?","How does it work?"
"Once your order is ready for shipment", you will receive an SMS proposing various days and time windows for your delivery.","Once your order is ready for shipment", you will receive an SMS proposing various days and time windows for your delivery."
"You choose the moment which suits you best for the delivery by replying to the SMS (no extra cost) or through our website","You choose the moment which suits you best for the delivery by replying to the SMS (no extra cost) or through our website"
"On the day of delivery", a text message will precise you a 1-hour time window for the delivery.","On the day of delivery", a text message will precise you a 1-hour time window for the delivery."
"Get more info in this video ","Get more info in this video "
"To get all the advantages of DPD Predict service", please provide a french mobile phone number here ","To get all the advantages of DPD's Predict service", please provide a french mobile phone number here "
"It seems that the GSM number you provided is incorrect. Please provide a french GSM number", starting with 06 or 07", on 10 consecutive digits.","It seems that the GSM number you provided is incorrect. Please provide a french GSM number", starting with 06 or 07", on 10 consecutive digits."
"URL MyPudo","DPD Relais Webservice URL"
"ID trader","ID trader"
"Security Key","Security Key"
"Your DPD Relais contract #","Your DPD Relais contract #"
"Google Maps API Key","Google Maps API Key"
"Find DPD Pickup points near this address : ","Find DPD Pickup points near this address : "
"Your Pickup delivery by DPD","Your Pickup delivery by DPD"
"More details","More details"
"You have to choose an address for your shipping!","You have to choose an address for your shipping!"
"Your shopping cart is too heavy for being shipped in a Pickup point","Your shopping cart is too heavy for being shipped in a Pickup point"
"An error ocurred while fetching the DPD Pickup points. Please try again","An error ocurred while fetching the DPD Pickup points. Please try again"
"There are no DPD Pickup points for the selected adress. Please modify it.","There are no DPD Pickup points for the selected adress. Please modify it."
"The field Postal Code is mandatory!","The field Postal Code is mandatory!"
"The field City is mandatory!","The field City is mandatory!"
"Your DPD Pickup point","Your DPD Pickup point"
"Method Name","Method Name"
"Distance in KM","Distance in KM"
"DPD Pickup ID#","DPD Pickup ID#"
"Opening hours","Opening hours"
"More info","More info"
"Closing period","Closing period"
"info","info"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
"Closed","Closed"
"Attention", this DPD Pickup point will be unavailable from","Attention", this DPD Pickup point will be unavailable from"
"Jan","Jan"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","May"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Dec"
